Question,Answer
Conversation Start,00:00:01
Conversation End,00:11:28
Duration (formatted),11 min 27 sec
Duration (seconds),687.03
---,---
Control Location,
Date & Time,
Visit Duration,11 min 27 sec
Contact Method,"Telephone conversation (call, WhatsApp)"
Heard From,Prywatne firmy
"If Other, WHERE?",Pusty napis.
Number of Customers,1
Gender,No information
Age Group,50+
Reason for Immigration,None.
Additional Info,"Ponieważ brak informacji o kliente, nie można określić jego special circumstances."
Country of Birth,
Mother Tongue,
Education Level,High school
Labor Market Position,No information
Customer's Domicile,
Duration of Residence in Finland,Less than 3 years
Topic of Discussion,Family life; Working conditions / occupational health & safety
Purpose of Visit,Other guidance and support; Clarifying decisions and processes
Additional Information Notes,"Pani/kolega klient wyraził zadowolenie z życia i relacji w rodzinie. Podczas rozmowy omówiono doświadczenia z prywatnymi firmami i biurami, a także trudności związane z kupowaniem i sprzedawaniem dóbr w internecie, na których klient wyraził sceptycyzm."
Where the Customer is Directed / Referred,None of the options match.
Other Feedback,"Ponieważ fakt sheet nie zawiera żadnych dodatkowych informacji o feedbacku, potrzebie szkolenia lub uwagach adwokata, odpowiedź jest pusta."
