Question,Answer
Conversation Start,00:00:00
Conversation End,00:17:40
Duration (formatted),17 min 40 sec
Duration (seconds),1060.5
---,---
Control Location,
Date & Time,
Visit Duration,17 min 40 sec
Contact Method,
Heard From,
"If Other, WHERE?",
Number of Customers,
Gender,
Age Group,
Reason for Immigration,
Additional Info,
Country of Birth,
Mother Tongue,
Education Level,
Labor Market Position,
Customer's Domicile,
Duration of Residence in Finland,
Topic of Discussion,Work; Studying Finnish/Swedish
Purpose of Visit,
Additional Information Notes,
Where the Customer is Directed / Referred,
Other Feedback,
