Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,06/06/2026 19:48
Gender,Not specified.
Age Group,"The age group of the customer is ""under five"" and they are referring to ""children under five""."
Reason for Immigration,Not specified.
Labor Market Position,"The customer's labor market position is self-employed or an employee of the municipality, possibly with their own smaller business."
Customer's Domicile,Espoo.
Duration of Residence in Finland,Not specified.
Country of Birth,England.
Mother Tongue,Not specified.
Education Level,Not specified.
Topics,"The topics discussed in this visit are:

1. Decision on where to apply
2. Providing information in a language (English, half, or another option)"
Additional Notes,"Services sought: Information about daycare options and application process for her 3-year-old daughter. Guidance: Explanation of different types of daycare, fees and costs, and application process; Information about online services and Finnish school system. Referrals: Bilgebaivakodit.fi (daycare fees and applying in Espoo); esbo.fi (early childhood education system); Pilke Play School, Tapiala (English-speaking daycare)."
