Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,06/06/2026 19:37
Gender,Not specified.
Age Group,Not specified.
Reason for Immigration,Not specified.
Labor Market Position,Freelancer.
Customer's Domicile,Not specified.
Duration of Residence in Finland,Not specified.
Country of Birth,Not specified.
Mother Tongue,Not specified.
Education Level,Not specified.
Topics,"The topics discussed in this visit are:

1. Identification papers
2. Visa
3. Experience (presumably work or professional experience)"
Additional Notes,"Services sought: Information about the impact of registering as a freelancer on her current visa and taxes in Finland. Guidance: Instructions on how to apply for a self-employment visa, obtain a business ID, and navigate the tax administration. Referrals: Tax administration."
