Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:21
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Espoo
Duration of Residence in Finland,Less than 1 year
Topics,Child care options; Daycare centers; Kindergarten; Shift care; Food; Education; Future school options
Country of Birth,Not specified
Mother Tongue,Not specified
Education Level,Not specified
Additional Notes,"Services sought: Information about child care options for a 3-year-old child, including availability, cost, and language support.. Guidance provided: Information about daycare centers, kindergarten, and shift care options, including eligibility, application process, and language support.. Referrals made: ESPO website."
