Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:19
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Espoo
Duration of Residence in Finland,Less than 1 year
Topics,Daycare options; English-speaking daycare; Daycare fees; Municipal daycare; Early childhood education; Kela benefits; Residence permit
Country of Birth,England
Mother Tongue,English
Education Level,Not specified
Additional Notes,"Services sought: Information about daycare options and fees, specifically for an English-speaking daycare for her 3-year-old daughter.. Guidance provided: Information about different types of daycare, including municipal and private options, and the application process for English-speaking daycare.. Referrals made: Bilge Pajverkodit (English-speaking daycare in Espoo), Espoo.fi (city of Espoo's website for early childhood education and daycare)."
