Field,Value
Control Location,Service market Big Apple
Contact Method,Visit to a guidance/advice point
Number of Customers,1
Date & Time,31/05/2026 13:04
Gender,No information
Age Group,Adult
Reason for Immigration,Migrant / Newcomer
Labor Market Position,No information
Customer's Domicile,Not specified
Duration of Residence in Finland,No information
Topics,None
Country of Birth,Not specified
Mother Tongue,Not specified
Education Level,No information
Additional Notes,Processed with Llama 3.1 + NLP pipeline | Transcript: 7927 chars
