Service Name;Service Link;Description;Short Description;Other Links;Date;Mini Description
Abandoned vehicles;https://www.espoo.fi/en/services/abandoned-vehicles;"Vehicles abandoned in a private property may be reported to Customer Service of Urban Environment Sector.

Vehicles abandoned may be reported to the Customer Service of Urban Environment Sector tel. 09 8162 5100 Monday to Friday.  

Abandoned vehicles will be transferred to the vehicle depot of the city. If the vehicle has burnt up or it is a danger to the environment or people, the city will tow the vehicle directly to a treatment facility.";Vehicles abandoned in a private property may be reported to Customer Service of Urban Environment Sector.;Urban Environment Customer Service: https://www.espoo.fi/en/units/63749;13.10.2025;This service lets residents report abandoned vehicles on private property to the Urban Environment Sector, which will arrange removal by transferring the vehicle to the city depot or towing it to a treatment facility if it is burnt or hazardous.
Abandoned vehicles in the area of a property;https://www.espoo.fi/en/services/abandoned-vehicles-area-property;"The city may move a vehicle abandoned in a private area. 

A property owner may report a car parked in the area of the property to the Urban Environment Customer Service. A vehicle parked incorrectly on private property can be towed upon a justified request by the landowner or holder.

Call Urban Environment Customer Service: 09 8162 5100 Mon-Fri 10-15.30 or send an e-mail: asy@espoo.fi 
";The city may move a vehicle abandoned in a private area.;Urban Environment Customer Service: https://www.espoo.fi/en/units/63749;13.10.2025;Property owners can report abandoned or improperly parked vehicles on private property to the Urban Environment Customer Service, and the city may tow them upon a justified request.
Address numbering;https://www.espoo.fi/en/services/address-numbering;"  

The new detailed plan may change street names. The new names will be adopted as the implementation of the detailed plan progresses in the area. Landowners will be informed in writing of any changes in the street name or address number. The city will also inform the postal service, the Digital and Population Data Services Agency and the Rescue Department about the address change.  

When the new address enters into force, the owner/holder of the built plot must place the address number plate in a place on the plot from where it is clearly visible from the street.
 
Address enquiries email: osoitenumerointi@espoo.fi ";The new detailed plan may change street names. The new names will be adopted as the implementation of the detailed plan progresses in the area.;City Surveying services: https://www.espoo.fi/en/unit/21972;13.10.2025;This service manages updates to street names and property address numbers as part of a detailed city plan, informs landowners and authorities of changes, and requires the new address numbers to be clearly displayed.
Advertising in street areas;https://www.espoo.fi/en/services/advertising-street-areas;"The city has both long-term and short-term contracts with companies that advertise in street areas. The advertisements are mostly at bus stops and lamp posts.    

Temporary advertisement spots 
Bridge rails and other structures that do not compromise traffic or general safety as well as public areas can be rented as advertising spots for up to two weeks.        

Bridge banners
It is possible to apply for a temporary advertising permit (also for commercial purposes) for bridge railings (13 locations) for up to two weeks. Political advertisements on bridge banners are not permitted. Advertising spots are available on the railings of the following bridges:

1 Lintulaaksontie northern/ Lintulaaksonsilta bridge
2 Lintulaaksontie southern/ Pikkulinnunsilta bridge
3 Viherlaaksontie/Shopping centre
4 Espoonväylä/Kiltakuja
5 Merituulentie/Koulusilta bridge
6 Nöykkiönkatu/Vehaksensilta bridge
7 Olarinkatu/Meteorinranta
8 Kuitinmäentie/Piispansilta bridge
9 Martinsillantie/Tukkurinsilta bridge
10 Matinkatu/Shopping centre
11 Soukantie/Shopping centre
12 Soukantie/Kastevuorenraitti
13 Alakartanontie/Kastevuorenkuja

The advertiser is responsible for commissioning the bridge banners and installing them.

Prices of temporary advertisements
A. No fee is charged for advertising events for the public good. These include:

Events for the public good that are open to all, free of charge, and organized by the city, organizations, associations, educational institutes, and day-care centers
time slots of sports clubs and organizations in park fields
granting small-scale, temporary traffic arrangements due to family events and similar if they do not cause a need for inspection visits
cleaning and environmental work parties
events related to general elections during the election advertisement period
work, exercises, or events of the defense forces, police or rescue department, etc.
research and work projects of the ministries and state-owned institutions
work related to the city's units
an ice cream van or similar mobile sales stand or point making a quick stop in the area
B. Community advertisements: €15 + VAT (24%)/day (sporting events, cultural events)

C. Business advertisements: €60 + VAT (24%)/day

Event signage
A permit can be applied for the signage of an event (e.g. a sporting or cultural event, shop opening, or some other similar public event or celebration). The maximum number of advertisements awarded for one permit application is 30 and they are meant to be placed within a restricted area (e.g. city district) to serve as signage for a single event. 

An event signage permit costs €60 + VAT (24%)/2 days. The city monitors the appropriateness of the advertisements and is entitled to remove unauthorised advertisements from the street areas and to charge for the resulting costs.

Apply for a permit electronically via the Electronic services for construction and land use (in Finnish). You can find the correct permit application under Yleisten alueiden luvat (public area permits) in Mainoslupa (advertisement permit).";The city has both long-term and short-term contracts with companies that advertise in street areas. The advertisements are mostly at bus stops and lamp posts.;Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749;13.10.2025;This service provides permits and manages street-area advertising (temporary and event-based) at locations such as bus stops and bridge railings, with defined pricing and an online application process.
Advice and support during changes and dismissal;https://www.espoo.fi/en/services/advice-and-support-during-changes-and-dismissal;"Employees and employers receive advice and support from the Employment Services when an employment relationship is changed or terminated.

The Employment Services gives employees and employers advice and support when an employment relationship is changed or terminated. 

The Employment Services helps laid-off and dismissed employees find new work or training in cooperation with employer representatives and staff or their representatives.";Employees and employers receive advice and support from the Employment Services when an employment relationship is changed or terminated.;"Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;Provides guidance and assistance to employees and employers during changes or termination of an employment relationship, including helping laid-off workers find new work or training.
Advice to jobseekers;https://www.espoo.fi/en/services/advice-jobseekers;"By registering yourself as a jobseeker, you become a customer of the employment services and you can start job seeking.


You will receive job search counselling and guidance when you register as a jobseeker in the employment services of your region. As a jobseeker, you can apply for unemployment benefit from Kela or your unemployment fund. The employment authority issues a statement on the matter to Kela or the unemployment fund.

The employment authority will advise and guide you in applying for work and selecting the right services. Your employment will be supported through an initial interview, an employment plan and job search discussions.

Once you have registered as a jobseeker, the employment authority will arrange an initial interview with you within five working days. In the interview, you and an expert will discuss what kind of jobs you could apply for or whether you need to acquire training or change fields. The employment authority will also draw up an employment plan with you.

During job search discussions, you will be in regular contact with the employment authority in your area. Between the discussions, you apply for work independently or participate in services promoting employment in accordance with the employment plan.";"By registering yourself as a jobseeker, you become a customer of the employment services and you can start job seeking.
";"Employment Espoo Information Point: https://www.espoo.fi/en/unit/64618; Espoo Employment Services, office in Sello: https://www.espoo.fi/en/unit/76109; Espoo Employment Services, Piispanportti office: https://www.espoo.fi/en/unit/63889";13.10.2025;This service provides registered jobseekers with personalized counselling, an employment plan, and ongoing support to find work and manage unemployment benefit applications.
Afternoon activities and care for pupils;https://www.espoo.fi/en/childcare-and-education/basic-education/studying-comprehensive-school/afternoon-activities-and-care-pupils;"Espoo organises afternoon activities for pupils in grades 1-2 and for pupils requiring special support after the school day.

Espoo organises afternoon activities for pupils in grades 1-2 and for pupils requiring learning and school attendance support after the school day. Afternoon group activities in schools are organised by schools, organisations and private service providers. Afternoon activities are recreational activities organized in groups of 15 children, where one adult supervises the group. In addition to guided activities, the children can focus on their own playing. The afternoons are spent both indoors and outdoors. The children participating in the afternoon activities are insured and covered by the personal accident insurance of the city. Afternoon activities of basic education are subject to a fee. Based on the income of the family, it is possible to apply for a payment relief or remission for the service. Applying for afternoon activities of schools is done for one school year at a time. Activities are not organised during school holidays or school Saturdays. Afternoon activities of basic education are organised in 62 locations.";Espoo organises afternoon activities for pupils in grades 1-2 and for pupils requiring special support after the school day.;"Auroran koulu: https://www.espoo.fi/en/unit/15345; Finno skola: https://www.espoo.fi/en/unit/15413; Karakallio residents' park: https://www.espoo.fi/en/unit/20324; Karamalmens skola: https://www.espoo.fi/en/unit/15358; Kivenlahti residents' park: https://www.espoo.fi/en/unit/20348; Kungsgårdsskolan: https://www.espoo.fi/en/unit/15378; Lagstads skola: https://www.espoo.fi/en/unit/15370; Leppävaara residents' park: https://www.espoo.fi/en/unit/20325; Mankkaa residents' park: https://www.espoo.fi/en/unit/20236; Matinkylä residents' park: https://www.espoo.fi/en/unit/20267; Mattlidens skola: https://www.espoo.fi/en/unit/15308; Olari residents' park: https://www.espoo.fi/en/unit/20268; Perkkaa residents' park: https://www.espoo.fi/en/unit/20326; Pisa residents' park: https://www.espoo.fi/en/unit/20352; Rödskogs skola: https://www.espoo.fi/en/unit/55965; Smedsby skola: https://www.espoo.fi/en/unit/15306; Tapiola residents' park: https://www.espoo.fi/en/unit/20235; Viherkallio residents' park: https://www.espoo.fi/en/unit/20327; Vindängens skola: https://www.espoo.fi/en/unit/15409";13.10.2025;Espoo provides after-school care and recreational activities for pupils in grades 1–2 and others needing learning and school attendance support, organized in groups with one supervisor indoors and outdoors, insured by the city at 62 locations for the school year, with a fee and possible income-based relief, and not offered during school holidays or Saturdays.
Allotments;https://www.espoo.fi/en/services/allotments;"Residents can lease parcels to cultivate in allotments all over Espoo. A rent must be paid in advance in the spring. A tenant has preference to the same parcel next year. That means you can grow perennials.

The rental includes the use of irrigation water (only connected in the summertime). The tenant is in charge of soil enrichment etc. 

Weather conditions affect the availability of seasonal water. 

More info: vipa@espoo.fi or call Monday to Friday between 9-14: +358 40 639 3961
";Residents can lease parcels to cultivate in allotments all over Espoo.;"Finnoo A allotment: https://www.espoo.fi/en/unit/27555; Finnoo B allotment: https://www.espoo.fi/en/unit/61832; Finnoo C allotment: https://www.espoo.fi/en/unit/61833; Järveperä allotment: https://www.espoo.fi/en/unit/27549; Jousenkaari allotment: https://www.espoo.fi/en/unit/61830; Kaitaa allotment: https://www.espoo.fi/en/unit/27551; Kauklahti allotment: https://www.espoo.fi/en/unit/27552; Koivu-Mankkaa allotment: https://www.espoo.fi/en/unit/27554; Latokaski allotment: https://www.espoo.fi/en/unit/27553; Leppäsilta allotment: https://www.espoo.fi/en/unit/27547; Rastaala allotment C: https://www.espoo.fi/en/unit/27548; Rastaala B allotment: https://www.espoo.fi/en/unit/61831; Silkkiniitty allotment: https://www.espoo.fi/en/unit/27557; Tuomarila allotment: https://www.espoo.fi/en/unit/27550; Feedback: https://easiointi.espoo.fi/eFeedback/en; Allotment garden plot rules  : https://static.espoo.fi/cdn/ff/rWpHO4pECFFBE-V2mjKswEm2IsQbGMCNaClNKfIOzEY/1642053257/public/2022-01/VIPA_s%C3%A4%C3%A4nn%C3%B6t%202022_EN.pdf; Allotment cultivation info : https://static.espoo.fi/cdn/ff/8ytQz61jzT4G8cGlPGqmeAR0iLLUqLwhqVvsHcy-sko/1642053668/public/2022-01/Info%20palstaviljelij%C3%B6ille_EN.pdf; Report a problem: https://easiointi.espoo.fi/eFeedback/en/Feedback/31-Vikailmoitukset";13.10.2025;Residents in Espoo can lease allotment plots for cultivation, paying rent in advance in spring, with summer irrigation water included, renewal priority on the same plot next year, and the tenant responsible for soil enrichment.
Animal welfare;https://www.espoo.fi/en/sports-and-nature/animals/animal-welfare;"Laws have been made to promote animal welfare and to protect animals from harm in the best possible way. The purpose of the legislation is also to ensure that people respect animals and treat them well.

If you suspect that an animal is being treated in a way that is against animal welfare legislation, you should contact the animal welfare authority. In Espoo, Kauniainen and Kirkkonummi, the unit responsible for animal welfare tasks is Espoo Region Environmental Health Services.
";In Espoo, Kauniainen and Kirkkonummi, the unit responsible for animal welfare tasks is Espoo Region Environmental Health Services.;"City of Espoo veterinarians' office: https://www.espoo.fi/en/unit/64065; Stray animals: https://www.espoo.fi/en/sports-and-nature/animals/stray-animals; Import and export of animals: https://www.espoo.fi/en/sports-and-nature/animals/import-and-export-animals; City of Espoo veterinarians: https://www.espoo.fi/en/sports-and-nature/animals/city-espoo-veterinarians";13.10.2025;Enforces animal welfare laws to protect animals from harm and ensure humane treatment, with complaints handled by the Espoo Region Environmental Health Services in Espoo, Kauniainen, and Kirkkonummi.
Announcements;https://www.espoo.fi/en/services/announcements;"Official notifications and announcements of the city of Espoo are published at espoo.fi. 


In addition to the noticeboard for public announcements, notifications and announcements are published electronically on the Espoo website in Finnish and Swedish. The notifications and announcements are also published in the mass media if required by law or if otherwise necessary.";"Official notifications and announcements of the city of Espoo are published at espoo.fi. 
";"Read announcements (in Swedish): https://www.espoo.fi/sv/sok?q=kung%C3%B6relser&type=article&sort=publishedTime-desc; Read announcements (in Finnish): https://www.espoo.fi/fi/haku?q=kuulutu&sort=publishedTime-desc";13.10.2025;Official City of Espoo notifications and announcements published on espoo.fi (in Finnish and Swedish), with publication in the mass media when required by law.
