Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,01/06/2026 08:11
Gender,Woman
Age Group,Adult 30-64
Reason for Immigration,Work
Labor Market Position,Unemployed job seeker
Customer's Domicile,Not specified
Duration of Residence in Finland,3-5 years
Topics,Freelancing; Residence permit; Visa status; Unemployment benefits; Taxation; Entrepreneurship
Country of Birth,Mexico
Mother Tongue,Not specified
Education Level,No information
Additional Notes,"Services sought: Information on freelancing, visa status, and unemployment benefits.. Guidance provided: Advice on checking visa status with immigration services, registering as a freelancer, and applying for unemployment benefits.. Referrals made: nyukohelsinki.fi; ytj.fi; vero.fi; te-palvelu.fi; Kela."
