Field,Value
Control Location,Service market Big Apple
Date & Time,26/05/2026 14:18
Visit Duration,15 minutes
Contact Method,Visit to a guidance/advice point
Heard From,Not mentioned
Number of Customers,1
Gender,Woman
Age Group,Adult (parent of a 3-year-old)
Reason for Immigration,Migrant / Newcomer
Additional Info,None
Country of Birth,Not specified
Mother Tongue,Not Finnish (immigrant)
Education Level,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Espoo
Duration of Residence in Finland,Less than 3 years
Topics,"Family life (children's school, early childhood education); Matters related to education"
Purposes,Clarifying decisions and processes; Other guidance and support
Additional Notes,"Customer is a migrant mother with a 3-year-old child. Full-time job. Does not speak Finnish well. Seeking information about municipal daycare options, hours, meals, language, and application process."
Referrals,Municipal immigrant & integration services; Social and family services; Early childhood education
Other Feedback,"Customer was guided on how to apply for municipal early childhood education via city website. Information provided on free meals, Finnish/Swedish instruction, shift care, and address-based placement."
