Field,Value
Control Location,Service market Big Apple
Date & Time,27/05/2026 05:55
Visit Duration,15 minutes
Contact Method,Visit to a guidance/advice point
Heard From,Not mentioned
Number of Customers,1
Gender,Woman
Age Group,Adult
Reason for Immigration,Work
Additional Info,None
Country of Birth,Not specified
Mother Tongue,Not specified
Education Level,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Not specified
Duration of Residence in Finland,No information
Topics,"Family life (children's school, early childhood education); Matters related to education; Immigration process (residence permit, citizenship, registration); Work (TE services, job search, etc.); Studying Finnish/Swedish"
Purposes,Clarifying decisions and processes; Other guidance and support
Additional Notes,Immigrant mother with a 3-year-old child. Full-time job. Limited Finnish skills. Country of birth: Not specified. Seeking guidance on integration services.
Referrals,Municipal immigrant & integration services; Social and family services; Early childhood education; Finnish Immigration Service (Migri)
Other Feedback,"Customer received comprehensive guidance on municipal services, early childhood education, and integration pathways. Directed to relevant municipal portals and authorities."
