Question,Answer
Control Location,Not specified
Contact Method,Guidance/advice visit
Number of Customers,1
Date & Time,05/06/2026 19:16
Gender,Woman
Age Group,Adult 30-64 (parent of 3-year-old)
Reason for Immigration,Not specified
Labor Market Position,Working in the open market
Customer's Domicile,Espoo
Duration of Residence in Finland,Less than 1 year
Topics,Daycare options; Early childhood education; Private daycare; Municipal daycare; English-speaking daycare; Fees for daycare; Application process for daycare
Country of Birth,England
Mother Tongue,English
Education Level,Not specified
Additional Notes,"Services sought: Information about daycare options and application process for a 3-year-old child. Guidance provided: Information about different types of daycare, application process, and fees for daycare. Referrals made: Pilke Play School, Espoo.fi, Eva (online services)."
