Service Name;Service Link;Description;Short Description;Other Links;Date;Mini Description
Digital and Population Data Services Agency (DVV);https://dvv.fi/en/;;;"Registration of a foreigner: https://dvv.fi/en/foreigner-registration; Finnish personal identity code: https://dvv.fi/en/personal-identity-code; Change of address: https://dvv.fi/en/moving";28.10.2025;The Digital and Population Data Services Agency (DVV) is the Finnish authority responsible for the national Population Information System. Its functions include the official registration of foreign citizens, issuance of the Finnish personal identity code (henkilötunnus), and the legal recognition of life events, which are prerequisites for accessing essential public and private services including banking, healthcare and social security.
Kela;https://www.kela.fi/main-page;;;"OmaKela e-service: https://www.kela.fi/e-services; Contact Information: https://www.kela.fi/contact-us; Moving to Finland: https://www.kela.fi/moving-to-finland";28.10.2025;Kela is the Finnish social security institution that provides financial support for residents throughout different life stages and situations.
Vero.fi;https://www.vero.fi/en/;;;"MyTax e-service: https://www.vero.fi/en/About-us/contact-us/efil/information-on-mytax/; Contact Information: https://www.vero.fi/en/About-us/contact-us/; Tax card: https://www.vero.fi/en/individuals/tax-cards-and-tax-returns/tax_card/";28.10.2025;The Finnish Tax Administration (Vero.fi) is the governmental agency responsible for collecting taxes and ensuring the sustainable funding of the Finnish welfare state. Vero.fi provides essential services such as issuing a tax card (verokortti) and a tax number (veronumero).
HSL (Helsingin seudun liikenne);https://www.hsl.fi/en;;;"Journey Planner: https://www.hsl.fi/en; Tickets and fares: https://www.hsl.fi/en/tickets-and-fares; HSL app: https://www.hsl.fi/en/tickets-and-fares/hsl-app";28.10.2025;HSL is the public transportation authority for the Helsinki metropolitan area including Helsinki, Espoo, Vantaa, Kauniainen, Kirkkonummi, Siuntio, Tuusula, Kerava, Sipoo. HSL is responsible for the operation of all public transportation, including bus, tram, metro, train, and ferry services.
OmaOlo;https://www.omaolo.fi/;;;"Symptom checker: https://www.omaolo.fi/palvelut/oirearviot";28.10.2025;OmaOlo is a national online service for social and health care that allows users to assess their symptoms and directs them to the appropriate care.
MyKanta (OmaKanta);https://www.kanta.fi/en/mykanta;;;"Acting on behalf of another person: https://www.kanta.fi/en/acting-on-behalf-of-another-person; Prescriptions: https://www.kanta.fi/en/prescriptions";28.10.2025;OmaKanta is a national e-health service where you can see your own health information and prescriptions online.
Migri;https://migri.fi/en/;;;"Enter Finland e-service: https://enterfinland.fi/eServices; Contact Information: https://migri.fi/en/contact-information; Residence permits: https://migri.fi/en/residence-permit";28.10.2025;The Finnish Immigration Service (Migri) is the official agency that processes and decides on residence permits, registration of EU citizens, asylum applications, and citizenship matters in Finland.
Poliisi;https://poliisi.fi/en/;;;"Online services: https://asiointi.poliisi.fi/; Contact information: https://poliisi.fi/en/contact-information; Report a crime: https://poliisi.fi/en/report-a-crime";28.10.2025;The Finnish Police is the national law enforcement agency responsible for maintaining public order and safety, preventing and investigating crimes, and providing license services.
Traficom;https://www.traficom.fi/en;;;"My e-Services: https://www.traficom.fi/en/e-services/my-e-services-and-acting-behalf-another-person-or-organisation; Driving licences: https://www.traficom.fi/en/transport/drivers-and-vehicles/driving-licenses; Vehicle registration: https://www.traficom.fi/en/transport/drivers-and-vehicles/vehicle-registration";28.10.2025;The Finnish Transport and Communications Agency (Traficom) is the authority for license, registration, and approval matters for transport and communications.
Suomi.fi;https://www.suomi.fi/frontpage;;;"Messages: https://www.suomi.fi/en/messages; e-Authorizations: https://www.suomi.fi/e-authorizations; Information for companies: https://www.suomi.fi/company/";28.10.2025;Suomi.fi is a centralized online portal that provides citizens and entrepreneurs with access to public administration information, secure e-services, and official communication channels in Finland.
TE-Services (Public employment and business services);https://tyomarkkinatori.fi/en;;;"Job Market Espoo: https://tyomarkkinatori.fi/en/regional-pages/espoo/frontpage; e-Services: https://tyomarkkinatori.fi/en/personal-customers";28.10.2025;TE-Services provides public employment and business services to help jobseekers find work and to support employers with recruitment and training.
